field_id,latitude,longitude,crop,yield,season,source,mean_ndvi,max_ndvi,min_ndvi,std_ndvi
5036TUGQ1,9.5,-1.0,maize,1891.3,2020,zenodo,0.9989457607793648,1.0,0.8903967451931335,0.07690331759826137
5036TUGQ2,9.5,-1.0,maize,598.5,2020,zenodo,1.0,1.0,0.8951205114453562,0.07068550796282454
5036TUGQ3,9.5,-1.0,maize,1657.4,2020,zenodo,1.0,1.0,0.9238236087580919,0.02592952531792181
5014LABQ1,9.5,-1.0,maize,584.5,2020,zenodo,0.984276820062333,1.0,0.9113272477115394,0.020760365170981884
5014LABQ2,9.5,-1.0,maize,1044.0,2020,zenodo,1.0,1.0,0.9052831408954757,0.06185578595007592
5014LABQ3,9.5,-1.0,maize,988.7,2020,zenodo,1.0,1.0,0.9202249634763549,0.06722795079789638
5016ZORQ1,9.5,-1.0,maize,1297.5,2020,zenodo,1.0,1.0,0.8985073612304916,0.0776887223792231
5016ZORQ2,9.5,-1.0,maize,2023.4,2020,zenodo,1.0,1.0,0.9207984212834549,0.0774039182534593
5016ZORQ3,9.5,-1.0,maize,3125.5,2020,zenodo,1.0,1.0,0.9010110747720202,0.059513649402885394
7061CHEQ1,9.5,-1.0,maize,1178.1,2020,zenodo,0.9774192370354664,1.0,0.9120490696624955,0.054457162238995285
7061CHEQ2,9.5,-1.0,maize,1678.2,2020,zenodo,0.938015358476592,1.0,0.9412747240804421,0.04760971873390452
7061CHEQ3,9.5,-1.0,maize,2598.0,2020,zenodo,0.9517271472978917,1.0,0.9336491941893711,0.05738910079521704
7072ZINQ1,9.5,-1.0,maize,995.9,2020,zenodo,1.0,1.0,0.8900065988435371,0.06913398476515219
7072ZINQ2,9.5,-1.0,maize,1726.1,2020,zenodo,0.9035871183947473,1.0,0.9142466748291812,0.07250097183123748
7072ZINQ3,9.5,-1.0,maize,1105.3,2020,zenodo,0.9462816093687475,1.0,0.9353946923046318,0.04572361056674431
7070ZINQ1,9.5,-1.0,maize,921.3,2020,zenodo,1.0,1.0,0.858776061181879,0.06424088830648599
7070ZINQ2,9.5,-1.0,maize,1182.1,2020,zenodo,0.9145524660997857,1.0,0.8988208774979071,0.03338989364804474
7070ZINQ3,9.5,-1.0,maize,1528.3,2020,zenodo,0.9703377271669885,1.0,0.8862881713259146,0.05559780892470047
7074ZINQ1,9.5,-1.0,maize,1550.1,2020,zenodo,1.0,1.0,0.9440159709562164,0.0780642410199396
7074ZINQ2,9.5,-1.0,maize,1116.6,2020,zenodo,0.9602236349696514,1.0,0.9001481431956472,0.07505502940469314
7074ZINQ3,9.5,-1.0,maize,448.4,2020,zenodo,0.9516738344690552,1.0,0.9418479443443152,0.03869632394212642
2050KPAQ1,9.5,-1.0,maize,1719.3,2020,zenodo,0.9722157274956387,1.0,0.8920825453606007,0.07501845438319775
2050KPAQ2,9.5,-1.0,maize,1109.5,2020,zenodo,0.9085909757430998,1.0,0.8581131712661112,0.03848066924082322
2050KPAQ3,9.5,-1.0,maize,1563.1,2020,zenodo,1.0,1.0,0.9132438267523079,0.032506314061556185
5017ZORQ1,9.5,-1.0,maize,1847.8,2020,zenodo,1.0,1.0,0.8567090172660654,0.07156300462582103
5017ZORQ2,9.5,-1.0,maize,1392.8,2020,zenodo,0.9844966117219434,1.0,0.942044525785792,0.023252344769952082
5017ZORQ3,9.5,-1.0,maize,1372.4,2020,zenodo,1.0,1.0,0.8514024038659447,0.041941481252743454
7071ZINQ1,9.5,-1.0,maize,1220.5,2020,zenodo,0.917484697312668,1.0,0.9123476633284437,0.04807912217139222
7071ZINQ2,9.5,-1.0,maize,1516.1,2020,zenodo,0.9276948867343667,1.0,0.8596550895020072,0.07187398740827596
7071ZINQ3,9.5,-1.0,maize,1382.2,2020,zenodo,1.0,1.0,0.9473636758399818,0.04790650919270802
7058CHEQ1,9.5,-1.0,maize,46.5,2020,zenodo,0.8181969294716102,1.0,0.8096274164368281,0.047173099964373265
7058CHEQ2,9.5,-1.0,maize,447.5,2020,zenodo,1.0,1.0,0.9476725681031836,0.05107512091496052
7058CHEQ3,9.5,-1.0,maize,173.4,2020,zenodo,1.0,1.0,0.9171844407442494,0.03622066050006986
7059CHEQ1,9.5,-1.0,maize,685.8,2020,zenodo,1.0,1.0,0.8717629282811405,0.07532732074434426
7059CHEQ2,9.5,-1.0,maize,1525.8,2020,zenodo,1.0,1.0,0.8747649199505966,0.04463515985008622
7059CHEQ3,9.5,-1.0,maize,306.4,2020,zenodo,0.915101211530696,1.0,0.9217837048670352,0.04657211571942184
5002LABQ1,9.5,-1.0,maize,762.3,2020,zenodo,0.9773958667071505,1.0,0.895752013154124,0.0350607907462155
