field_id,polygon_id,date,ndvi
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-08-31,0.07479436731777908
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-09-08,0.6409370765808288
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-09-16,0.16565777481597518
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-09-24,0.1627759881850259
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-10-02,0.2964951012752981
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-10-10,0.05529076582113968
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-10-18,0.534159325795555
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-10-26,0.5915999121843069
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-11-03,0.6143402431395739
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-11-11,0.556485623975999
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-11-19,0.44821404457287
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-11-27,0.4306177289019119
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-12-05,0.4210890715281927
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-12-13,0.3403157107135134
Farm_1,68c1cd25fd6b855b7fb1bca7,2024-12-29,0.335754127515488
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-01-06,0.21019527196741408
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-01-14,0.21182277440822334
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-01-22,0.2228776510974368
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-01-30,0.2096016556067736
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-02-07,0.2087032709944231
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-02-15,0.207772219703781
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-02-23,0.24968504680485729
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-03-03,0.21341814654581917
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-03-11,0.23905137500063633
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-03-19,0.24848928398348039
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-03-27,0.10116940034556328
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-04-04,0.28242654657365496
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-04-12,0.15734849841747386
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-04-20,0.28201276490458765
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-04-28,0.29338086967626203
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-05-06,0.29350314516866327
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-05-14,0.0925239811683107
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-05-22,0.17580501255140887
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-05-30,0.46545201852284657
Farm_1,68c1cd25fd6b855b7fb1bca7,2025-06-07,0.4693086650250575
